Gene_ID	Leaf.base	Minus.1cm	Plus.4cm	Leaf.tip
GRMZM2G011592	135.234058	45.77438493	220.4729051	426.5853311
GRMZM2G011731	7.579976847	7.005932096	9.545140878	16.21673481
GRMZM2G012391	43.24589836	37.31592464	54.14599002	55.3666963
GRMZM2G012758	16.02210716	2.224529956	20.05831578	23.16531149
GRMZM2G012865	0.306844069	0.236559563	12.16571481	45.21081503
GRMZM2G013060	1.966220517	1.182471526	12.31789474	24.62558508
GRMZM2G013612	0	0	6.28123943	15.03156879
GRMZM2G013900	8.824903972	5.338072441	186.0949671	444.7447009
GRMZM2G014071	3.205314819	2.458112022	7.370175212	13.30488449
GRMZM2G015908	3.55733256	1.621860027	13.79381117	27.55133551
GRMZM2G016558	2.946576123	0.636060568	4.399083483	5.613284358
GRMZM2G017187	25.17155767	19.90724221	39.89685842	39.98588512
GRMZM2G017532	9.891780795	9.488112081	36.84520799	61.84250598
GRMZM2G017586	41.9416255	31.92941662	62.55470888	75.26423196
GRMZM2G017624	41.31261765	36.66255569	42.92016102	69.23393599
GRMZM2G018006	14.01598745	9.696840218	15.82130165	24.42921237
GRMZM2G018074	18.53417155	12.85786018	41.32828163	64.32459103
GRMZM2G018189	29.00667865	25.36246502	36.51241246	50.58607184
GRMZM2G018612	0.688605911	0.087438487	2.539119057	8.806892083
GRMZM2G019056	9.989635046	7.693971061	23.39014308	40.74295095
GRMZM2G019060	0.977142645	0.175775171	0	0
GRMZM2G021406	47.67515043	38.68650899	54.11838282	65.34772689
GRMZM2G022120	7.364257658	4.68387935	8.002103791	12.25363705
GRMZM2G022206	132.9569251	121.6354655	186.2390897	264.434683
GRMZM2G022413	5.487328353	2.864521255	11.65277166	84.63364317
GRMZM2G022997	5.277636544	5.262265127	12.02569342	20.68563547
GRMZM2G023013	0	0.139752111	4.399019211	20.41016058
GRMZM2G023289	44.21474853	22.34987985	59.04699668	89.54442044
GRMZM2G024563	12.33085003	12.1470585	30.71964939	42.4792751
GRMZM2G025175	0.362858205	0.342685566	15.82211122	33.70557314
GRMZM2G027955	69.83398833	16.5673676	70.29989152	100.1705417
GRMZM2G028556	10.73831993	8.23792761	11.16123691	39.86093487
GRMZM2G028736	0.038372163	0.02070795	10.62208056	28.25164789
GRMZM2G030436	0	0.092274249	2.679544378	2.987342667
GRMZM2G031441	0	0.184132849	2.408199278	9.736673764
GRMZM2G032003	236.6268498	190.0371935	305.395226	332.5554702
GRMZM2G032028	0	0.096523005	2.343615028	3.443170741
GRMZM2G032107	38.19640963	20.26625167	38.4081726	59.23439396
GRMZM2G032496	19.57531078	11.54188024	24.75350342	35.22127769
GRMZM2G033846	47.13820463	22.3643802	74.40799414	188.7019598
GRMZM2G034410	9.087930514	6.726675983	16.2575859	23.69531048
GRMZM2G034697	13.99476216	11.61185122	20.46653597	28.79746204
GRMZM2G035213	29.31968901	14.0883264	38.23278786	129.6134058
GRMZM2G035256	4.917385531	2.602686789	8.914296724	15.86088751
GRMZM2G035502	60.45064615	51.51807908	60.47925145	100.9008201
GRMZM2G035848	0.504977668	0.32701994	1.353163093	5.332782844
GRMZM2G036629	0	0.532605766	3.099162213	10.20205091
GRMZM2G037350	8.320654757	8.283885793	14.86200332	20.66408793
GRMZM2G037472	7.091507376	2.183626737	16.38187182	49.47024852
GRMZM2G037927	1.709815162	0.297651644	3.363553371	8.061227635
GRMZM2G038598	12.33863159	9.796152263	43.07023017	66.74206287
GRMZM2G039106	2.29259191	1.756640212	4.600841515	4.729045923
GRMZM2G039238	23.89604798	23.01986231	84.23015268	103.5405833
GRMZM2G040481	0	0.06110238	1.65244532	4.945414056
GRMZM2G040858	4.963535762	2.80920385	10.92613304	16.03691204
GRMZM2G041356	0.328893271	0.327675291	23.52200731	30.72495125
